,Climat,Location,Seuil,pvalue05,pvaluebest,AccuracyTrain,AccuracyTest,RecallTest,PrecisionTest,F1Test,AUC
17,,Wollongong,0.5,2.792174765885941e-24,5.999756750995318e-34,0.8309260832625318,0.8200339558573854,0.302158273381295,0.8235294117647058,0.4421052631578947,0.8396003197442046
18,,Newcastle,0.21125002205371857,1.2577502793987064e-18,2.2227463281085994e-18,0.6798051372896369,0.6831858407079646,0.7666666666666667,0.444015444015444,0.5623471882640586,0.774008032128514
19,,Newcastle,0.5,1.2577502793987064e-18,2.2227463281085994e-18,0.8055801594331267,0.7876106194690266,0.25333333333333335,0.8260869565217391,0.38775510204081637,0.774008032128514
20,,MountGambier,0.30500146746635437,7.083329497083375e-41,1.98831742771434e-37,0.8269867549668874,0.7851239669421488,0.7541899441340782,0.6108597285067874,0.675,0.8528273926613685
21,,MountGambier,0.5,7.083329497083375e-41,1.98831742771434e-37,0.8286423841059603,0.8231404958677686,0.4972067039106145,0.839622641509434,0.624561403508772,0.8528273926613685
22,,Townsville,0.2270636409521103,1.1098136323199167e-25,3.0941773547346754e-44,0.8690623709211069,0.8448844884488449,0.8113207547169812,0.5375,0.6466165413533834,0.8955471698113207
23,,Townsville,0.5,1.1098136323199167e-25,3.0941773547346754e-44,0.8851714167699298,0.8646864686468647,0.25471698113207547,0.9,0.3970588235294118,0.8955471698113207
24,,Albury,0.2120165079832077,2.1245123572103687e-25,8.476401539367813e-39,0.8490802675585284,0.8247078464106845,0.75,0.5568862275449101,0.6391752577319588,0.854516129032258
25,,Albury,0.5,2.1245123572103687e-25,8.476401539367813e-39,0.8574414715719063,0.8414023372287145,0.3064516129032258,0.8085106382978723,0.4444444444444444,0.854516129032258
26,,Ballarat,0.2396925389766693,8.524666623102611e-44,8.550309788397345e-40,0.8159203980099502,0.7963576158940397,0.7660818713450293,0.6121495327102804,0.6805194805194805,0.8717772105398215
27,,Ballarat,0.5,8.524666623102611e-44,8.550309788397345e-40,0.8362354892205639,0.8344370860927153,0.45614035087719296,0.9176470588235294,0.609375,0.8717772105398215
28,,Bendigo,0.180313840508461,1.0316683797525573e-33,3.3859723118237e-30,0.8217821782178217,0.768976897689769,0.8141592920353983,0.43601895734597157,0.5679012345679013,0.8690516792618787
29,,Bendigo,0.5,1.0316683797525573e-33,3.3859723118237e-30,0.8688118811881188,0.8679867986798679,0.39823008849557523,0.7894736842105263,0.5294117647058824,0.8690516792618787
30,,Penrith,0.2555784583091736,2.708463474204129e-37,9.513702449067702e-33,0.8307560137457045,0.8061749571183533,0.7435897435897436,0.5117647058823529,0.6062717770034843,0.8551227027621877
31,,Penrith,0.5,2.708463474204129e-37,9.513702449067702e-33,0.8586769759450171,0.8679245283018868,0.36752136752136755,0.9347826086956522,0.5276073619631902,0.8551227027621877
32,,Tuggeranong,0.22060854732990265,1.8887168560978314e-27,3.7456489522076323e-31,0.8301647655259823,0.8361486486486487,0.6071428571428571,0.5619834710743802,0.5836909871244635,0.8316499255952381
33,,Tuggeranong,0.5,1.8887168560978314e-27,3.7456489522076323e-31,0.8648077735530207,0.8581081081081081,0.2767857142857143,0.9117647058823529,0.4246575342465753,0.8316499255952381
34,,Launceston,0.22850969433784485,2.477614962815302e-26,7.413844000000214e-33,0.8166390728476821,0.8013245033112583,0.6879432624113475,0.5606936416184971,0.6178343949044586,0.8256360767734325
35,,Launceston,0.5,2.477614962815302e-26,7.413844000000214e-33,0.8323675496688742,0.8245033112582781,0.3404255319148936,0.7868852459016393,0.4752475247524752,0.8256360767734325
36,,AliceSprings,0.11663879454135895,4.3727248565276164e-29,2.050198287141267e-24,0.8318181818181818,0.8115702479338843,0.8723404255319149,0.2751677852348993,0.41836734693877553,0.8858575459467705
37,,AliceSprings,0.5,4.3727248565276164e-29,2.050198287141267e-24,0.9462809917355371,0.9404958677685951,0.2978723404255319,0.8235294117647058,0.4375,0.8858575459467705
38,,GoldCoast,0.20132647454738617,1.2731616795236504e-26,6.783746958659938e-27,0.7109876015391193,0.7196581196581197,0.8070175438596491,0.5130111524163569,0.6272727272727272,0.8313628273582507
39,,GoldCoast,0.5,1.2731616795236504e-26,6.783746958659938e-27,0.8319794784095768,0.788034188034188,0.30409356725146197,0.9122807017543859,0.45614035087719296,0.8313628273582507
40,,Albany,0.31017279624938965,2.0896808531541384e-25,1.6470213717513684e-31,0.7962264150943397,0.7604690117252931,0.7619047619047619,0.5541125541125541,0.6416040100250627,0.8232739482739483
41,,Albany,0.5,2.0896808531541384e-25,1.6470213717513684e-31,0.8012578616352202,0.7922948073701842,0.36904761904761907,0.775,0.5000000000000001,0.8232739482739483
42,,Cairns,0.35936248302459717,8.818256121540778e-44,5.654142569168361e-44,0.8211725010544074,0.8178752107925801,0.7262569832402235,0.6878306878306878,0.7065217391304348,0.8782284835236014
43,,Cairns,0.5,8.818256121540778e-44,5.654142569168361e-44,0.809363137916491,0.8296795952782462,0.5251396648044693,0.8545454545454545,0.6505190311418685,0.8782284835236014
44,,Williamtown,0.305555522441864,4.0613590588866064e-21,2.5760747462651524e-25,0.8378947368421052,0.8025210084033614,0.6097560975609756,0.6198347107438017,0.6147540983606558,0.8175337985674473
45,,Williamtown,0.5,4.0613590588866064e-21,2.5760747462651524e-25,0.8263157894736842,0.8088235294117647,0.3170731707317073,0.8478260869565217,0.4615384615384615,0.8175337985674473
46,,NorfolkIsland,0.30570515990257263,2.335652629158924e-26,2.6300709014198698e-24,0.7757961783439491,0.7368421052631579,0.6564102564102564,0.5925925925925926,0.6228710462287105,0.7736951711571001
47,,NorfolkIsland,0.5,2.335652629158924e-26,2.6300709014198698e-24,0.7855626326963907,0.765704584040747,0.3487179487179487,0.8607594936708861,0.4963503649635036,0.7736951711571001
48,,Richmond,0.20195718109607697,1.2044713310400805e-31,5.3043626614997565e-40,0.8334767641996558,0.845360824742268,0.7256637168141593,0.5815602836879432,0.6456692913385826,0.8612751665188596
49,,Richmond,0.5,1.2044713310400805e-31,5.3043626614997565e-40,0.8769363166953529,0.8625429553264605,0.3185840707964602,0.9230769230769231,0.4736842105263158,0.8612751665188596
50,,Witchcliffe,0.3256012797355652,1.0105103191379456e-52,2.496966914666522e-58,0.864471996579735,0.852991452991453,0.8232044198895028,0.7339901477832512,0.7760416666666666,0.9078346370548656
51,,Witchcliffe,0.5,1.0105103191379456e-52,2.496966914666522e-58,0.8529286019666524,0.8478632478632478,0.5414364640883977,0.9423076923076923,0.687719298245614,0.9078346370548656
52,,SalmonGums,0.25894856452941895,1.1023152167729229e-08,9.675515264779619e-22,0.8720238095238095,0.8248299319727891,0.5196078431372549,0.4953271028037383,0.507177033492823,0.7734709109981441
53,,SalmonGums,0.5,1.1023152167729229e-08,9.675515264779619e-22,0.8656462585034014,0.8401360544217688,0.09803921568627451,0.8333333333333334,0.17543859649122806,0.7734709109981441
54,,PearceRAAF,0.29445967078208923,2.5126042636896287e-38,2.1817518541015744e-52,0.9105113636363636,0.9109848484848485,0.7894736842105263,0.6593406593406593,0.7185628742514969,0.9244294364229156
55,,PearceRAAF,0.5,2.5126042636896287e-38,2.1817518541015744e-52,0.8953598484848485,0.9090909090909091,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.9244294364229156
56,,Cobar,0.12144280225038528,1.4159896467054993e-21,2.3785082741383197e-23,0.7400251994960101,0.7164429530201343,0.92,0.2974137931034483,0.44951140065146583,0.8838643634037109
57,,Cobar,0.5,1.4159896467054993e-21,2.3785082741383197e-23,0.9025619487610248,0.8976510067114094,0.2,0.9375,0.32967032967032966,0.8838643634037109
58,,CoffsHarbour,0.31387701630592346,5.646893827103247e-26,6.395948145535679e-28,0.7979583156103786,0.7585034013605442,0.7215189873417721,0.5377358490566038,0.6162162162162163,0.8093538416249633
