;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.845529027040332;0.4894117647058824;0.732738374823861;0.5868522524217059;0.8681473716390109;LinearRegression
TreeDecision;0.823306023418545;0.2986666666666667;0.774613506916192;0.43111060794746975;0.7791678610530506;TreeDecision
RandomForest;0.7830444108442631;0.03670588235294118;0.8897338403041825;0.07050316360349504;0.8314628211690768;RandomForest
XGBoost;0.8409578395864834;0.4144313725490196;0.7698135198135199;0.5387988171714082;0.8566814507528899;XGBoost
