;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.7365589507366644;0.8464313725490196;0.4531026954404232;0.5902428352658062;0.8640477114703751;LinearRegression
TreeDecision;0.8313231829529871;0.4944313725490196;0.6669487939060517;0.5678767678587514;0.8179780673690795;TreeDecision
RandomForest;0.8396568093111572;0.5061960784313726;0.6956240569088166;0.585981478118758;0.8469366264272207;RandomForest
XGBoost;0.8291782411477197;0.5546666666666666;0.6365436543654366;0.59279128248114;0.8481035810263193;XGBoost
