;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.846021308766131;0.5002352941176471;0.7277498858968507;0.5929162405875245;0.8694505182783773;LinearRegression
TreeDecision;0.840887513625655;0.4883137254901961;0.7113802559414991;0.5791089201004559;0.8498095131453596;TreeDecision
RandomForest;0.8494321178663103;0.5049411764705882;0.7408515535097814;0.6005597014925372;0.8699365979894496;RandomForest
XGBoost;0.8553746615563135;0.5474509803921569;0.7397202204323866;0.6292256377895971;0.8852191272448067;XGBoost
