;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.8460564717465452;0.5003921568627451;0.7278120009126169;0.5930470347648261;0.869445271509619;LinearRegression
TreeDecision;0.8389183867224586;0.484078431372549;0.7048880767473732;0.5739793545987165;0.8455941041391175;TreeDecision
RandomForest;0.8465487534723443;0.476078431372549;0.7477211135747721;0.5817519647306881;0.8653196512107382;RandomForest
XGBoost;0.852561623123176;0.5407058823529411;0.7315365025466893;0.6218093262379363;0.8844016017574544;XGBoost
