;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.8459509828053026;0.5003921568627451;0.7273141814865481;0.5928817024440107;0.8694621706550641;LinearRegression
TreeDecision;0.8398677871936425;0.44784313725490194;0.7341218822319362;0.5563133281371785;0.8492864323394332;TreeDecision
RandomForest;0.8497485846900383;0.4980392156862745;0.7474105461393596;0.5977595782735574;0.8716361209458403;RandomForest
XGBoost;0.8537571644572594;0.535843137254902;0.7400346620450606;0.621599490492221;0.8844294529994738;XGBoost
