,Climat,Location,Seuil,pvalue05,pvaluebest,AccuracyTrain,AccuracyTest,RecallTest,PrecisionTest,F1Test,AUC
0,4,,0.19806140661239624,0.0,0.0,0.8409441572151694,0.8392161108705067,0.8048780487804879,0.5390438247011953,0.6456692913385828,0.9040219827550571
1,4,,0.5,0.0,0.0,0.8910213030885418,0.8918362927674318,0.5395597858417609,0.8012367491166078,0.6448631354425879,0.9040219827550571
2,0,,0.26950567960739136,0.0,0.0,0.8006399317406143,0.781265995563897,0.7400391900718485,0.5617253346554288,0.6386696730552424,0.8574667042778724
3,0,,0.5,0.0,0.0,0.8389931740614335,0.8305749872035488,0.4951012410189419,0.7750511247443763,0.6042247907532882,0.8574667042778724
4,1,,0.21148446202278137,5.688474590120707e-175,8.129945507057629e-161,0.8343043579585179,0.8103448275862069,0.8700787401574803,0.5644955300127714,0.6847405112316035,0.9130481285993096
5,1,,0.5,5.688474590120707e-175,8.129945507057629e-161,0.8819622465625728,0.8653308480894688,0.639763779527559,0.7540603248259861,0.6922257720979765,0.9130481285993096
6,3,,0.2451203316450119,0.0,0.0,0.8046188722017569,0.7984510766905931,0.8123587038432555,0.5685654008438819,0.6689419795221843,0.8818566094165335
7,3,,0.5,0.0,0.0,0.8509965051478228,0.837174159425765,0.549359457422758,0.7341389728096677,0.6284482758620689,0.8818566094165335
8,2,,0.10468871891498566,2.852712693252909e-181,7.235773430399342e-169,0.8826199740596627,0.8662467580585402,0.8620689655172413,0.4090909090909091,0.5548705302096177,0.9274859425633095
9,2,,0.5,2.852712693252909e-181,7.235773430399342e-169,0.9457105799518251,0.9336791404223787,0.4444444444444444,0.7733333333333333,0.5644768856447688,0.9274859425633095
10,6,,0.3339442014694214,5.331829799609308e-177,4.468367016509761e-183,0.8501286449399656,0.8117495711835334,0.7872078720787208,0.7064017660044151,0.7446189645142525,0.8890689236056285
11,6,,0.5,5.331829799609308e-177,4.468367016509761e-183,0.8623499142367067,0.8177530017152659,0.6629766297662977,0.7811594202898551,0.7172322022621423,0.8890689236056285
